0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
"[0.55, 0.5645833333333333, 0.5541666666666667, 0.6395833333333333]","[0.5854166666666667, 0.6583333333333333, 0.6166666666666667, 0.5708333333333333]","[0.6479166666666667, 0.5979166666666667, 0.7291666666666666, 0.725]","[0.5166666666666667, 0.59375, 0.5145833333333333, 0.5625]","[0.4625, 0.5979166666666667, 0.43125, 0.58125]","[0.3541666666666667, 0.46041666666666664, 0.5520833333333334, 0.4708333333333333]","[0.6125, 0.5229166666666667, 0.46458333333333335, 0.6166666666666667]","[0.49375, 0.45, 0.64375, 0.6375]","[0.5291666666666667, 0.6166666666666667, 0.56875, 0.6]","[0.6, 0.5770833333333333, 0.5666666666666667, 0.5166666666666667]","[0.49375, 0.7229166666666667, 0.65625, 0.5958333333333333]","[0.525, 0.64375, 0.6416666666666667, 0.6]","[0.6104166666666667, 0.58125, 0.71875, 0.5395833333333333]","[0.63125, 0.6979166666666666, 0.7041666666666667, 0.5645833333333333]","[0.64375, 0.6770833333333334, 0.71875, 0.6916666666666667]","[0.5604166666666667, 0.6229166666666667, 0.65, 0.55625]","[0.6104166666666667, 0.7666666666666667, 0.61875, 0.6458333333333334]","[0.5666666666666667, 0.7, 0.6166666666666667, 0.71875]","[0.5895833333333333, 0.7125, 0.7041666666666667, 0.6375]","[0.7166666666666667, 0.7541666666666667, 0.7104166666666667, 0.6125]","[0.63125, 0.6708333333333333, 0.6041666666666666, 0.51875]","[0.54375, 0.7166666666666667, 0.51875, 0.6770833333333334]","[0.6895833333333333, 0.6583333333333333, 0.7479166666666667, 0.5854166666666667]","[0.6729166666666667, 0.7645833333333333, 0.7770833333333333, 0.6854166666666667]","[0.5479166666666667, 0.5333333333333333, 0.59375, 0.70625]","[0.625, 0.6375, 0.6083333333333333, 0.5854166666666667]","[0.6729166666666667, 0.65625, 0.7208333333333333, 0.6604166666666667]","[0.5541666666666667, 0.68125, 0.6708333333333333, 0.6875]","[0.6291666666666667, 0.7041666666666667, 0.7041666666666667, 0.6895833333333333]","[0.6604166666666667, 0.7020833333333333, 0.7041666666666667, 0.6583333333333333]","[0.4666666666666667, 0.64375, 0.6270833333333333, 0.41041666666666665]","[0.5625, 0.66875, 0.6979166666666666, 0.6916666666666667]","[0.5125, 0.6708333333333333, 0.7666666666666667, 0.6145833333333334]","[0.6166666666666667, 0.6875, 0.7479166666666667, 0.65625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.5875, 0.6020833333333333, 0.6770833333333334, 0.5541666666666667]","[0.6104166666666667, 0.7645833333333333, 0.4791666666666667, 0.4979166666666667]","[0.6354166666666666, 0.7125, 0.55625, 0.7708333333333334]","[0.5375, 0.5895833333333333, 0.4979166666666667, 0.58125]","[0.45625, 0.5375, 0.6125, 0.5416666666666666]","[0.5, 0.47708333333333336, 0.6020833333333333, 0.48541666666666666]","[0.5520833333333334, 0.5645833333333333, 0.425, 0.5791666666666667]","[0.5395833333333333, 0.3854166666666667, 0.5291666666666667, 0.5]","[0.5041666666666667, 0.5416666666666666, 0.4791666666666667, 0.675]","[0.5875, 0.6666666666666666, 0.5270833333333333, 0.5]",,"[0.6833333333333333, 0.7979166666666667, 0.6645833333333333, 0.6]","[0.6395833333333333, 0.725, 0.7208333333333333, 0.6833333333333333]","[0.51875, 0.6, 0.7229166666666667, 0.6604166666666667]","[0.5833333333333334, 0.6645833333333333, 0.7229166666666667, 0.6125]","[0.48333333333333334, 0.7291666666666666, 0.60625, 0.6854166666666667]","[0.5895833333333333, 0.5395833333333333, 0.7020833333333333, 0.5729166666666666]","[0.69375, 0.7145833333333333, 0.5666666666666667, 0.6291666666666667]","[0.6083333333333333, 0.6791666666666667, 0.6583333333333333, 0.76875]","[0.61875, 0.73125, 0.5979166666666667, 0.61875]","[0.4479166666666667, 0.6625, 0.73125, 0.6770833333333334]","[0.5854166666666667, 0.65625, 0.7375, 0.6666666666666666]","[0.5979166666666667, 0.6666666666666666, 0.7333333333333333, 0.6770833333333334]","[0.575, 0.7229166666666667, 0.7520833333333333, 0.7291666666666666]","[0.6458333333333334, 0.75625, 0.65625, 0.5083333333333333]","[0.45416666666666666, 0.6895833333333333, 0.6, 0.50625]","[0.6833333333333333, 0.6958333333333333, 0.59375, 0.6583333333333333]","[0.5979166666666667, 0.5708333333333333, 0.6520833333333333, 0.6895833333333333]","[0.6979166666666666, 0.6541666666666667, 0.7, 0.6645833333333333]","[0.6208333333333333, 0.7083333333333334, 0.6520833333333333, 0.5958333333333333]","[0.5125, 0.6270833333333333, 0.6479166666666667, 0.5479166666666667]","[0.5791666666666667, 0.7, 0.5395833333333333, 0.64375]","[0.5020833333333333, 0.7541666666666667, 0.6604166666666667, 0.625]","[0.58125, 0.7458333333333333, 0.6708333333333333, 0.6666666666666666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.43333333333333335, 0.6520833333333333, 0.6270833333333333, 0.5583333333333333]","[0.6041666666666666, 0.48333333333333334, 0.7645833333333333, 0.54375]","[0.6166666666666667, 0.6729166666666667, 0.7020833333333333, 0.7229166666666667]","[0.6291666666666667, 0.6875, 0.5541666666666667, 0.5770833333333333]","[0.5333333333333333, 0.6083333333333333, 0.375, 0.50625]","[0.4708333333333333, 0.45208333333333334, 0.33541666666666664, 0.5083333333333333]","[0.4479166666666667, 0.6083333333333333, 0.5104166666666666, 0.6145833333333334]","[0.46041666666666664, 0.49375, 0.4895833333333333, 0.4083333333333333]","[0.5479166666666667, 0.6666666666666666, 0.5583333333333333, 0.6208333333333333]","[0.5208333333333334, 0.525, 0.5708333333333333, 0.5645833333333333]","[0.56875, 0.7229166666666667, 0.7520833333333333, 0.5958333333333333]","[0.5375, 0.74375, 0.6833333333333333, 0.6958333333333333]","[0.71875, 0.6604166666666667, 0.5416666666666666, 0.63125]","[0.61875, 0.7416666666666667, 0.6916666666666667, 0.5625]","[0.5958333333333333, 0.7104166666666667, 0.6708333333333333, 0.6833333333333333]","[0.45416666666666666, 0.64375, 0.6479166666666667, 0.5729166666666666]","[0.7083333333333334, 0.59375, 0.6145833333333334, 0.7041666666666667]","[0.6375, 0.58125, 0.7125, 0.6625]","[0.5395833333333333, 0.7291666666666666, 0.6145833333333334, 0.70625]","[0.7083333333333334, 0.7166666666666667, 0.70625, 0.7166666666666667]","[0.6854166666666667, 0.6395833333333333, 0.69375, 0.7]","[0.575, 0.65, 0.56875, 0.6520833333333333]","[0.5708333333333333, 0.6104166666666667, 0.7833333333333333, 0.6166666666666667]","[0.63125, 0.70625, 0.6208333333333333, 0.6666666666666666]","[0.6041666666666666, 0.6729166666666667, 0.6520833333333333, 0.6166666666666667]","[0.5291666666666667, 0.7479166666666667, 0.6229166666666667, 0.5479166666666667]","[0.7166666666666667, 0.6541666666666667, 0.75, 0.56875]","[0.6291666666666667, 0.6333333333333333, 0.6270833333333333, 0.5208333333333334]","[0.7125, 0.6520833333333333, 0.75625, 0.5625]","[0.6020833333333333, 0.7458333333333333, 0.7166666666666667, 0.71875]","[0.56875, 0.6895833333333333, 0.49583333333333335, 0.44583333333333336]","[0.5041666666666667, 0.74375, 0.5916666666666667, 0.5916666666666667]","[0.48333333333333334, 0.73125, 0.6479166666666667, 0.7145833333333333]","[0.75625, 0.76875, 0.6979166666666666, 0.6854166666666667]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.3645833333333333, 0.5875, 0.45208333333333334, 0.6125]","[0.6458333333333334, 0.7083333333333334, 0.6479166666666667, 0.5333333333333333]","[0.6166666666666667, 0.71875, 0.7541666666666667, 0.7208333333333333]","[0.61875, 0.6583333333333333, 0.61875, 0.69375]","[0.325, 0.58125, 0.5791666666666667, 0.5729166666666666]","[0.4270833333333333, 0.46458333333333335, 0.35625, 0.39791666666666664]","[0.5, 0.5604166666666667, 0.60625, 0.5333333333333333]","[0.37916666666666665, 0.5666666666666667, 0.3729166666666667, 0.55625]","[0.5375, 0.6, 0.55625, 0.5625]","[0.4895833333333333, 0.6354166666666666, 0.54375, 0.5291666666666667]","[0.6333333333333333, 0.6395833333333333, 0.7020833333333333, 0.6958333333333333]","[0.6479166666666667, 0.6708333333333333, 0.6770833333333334, 0.6645833333333333]","[0.7520833333333333, 0.675, 0.7729166666666667, 0.5]","[0.5625, 0.6708333333333333, 0.6333333333333333, 0.7520833333333333]","[0.6875, 0.6708333333333333, 0.6041666666666666, 0.70625]","[0.54375, 0.6604166666666667, 0.50625, 0.6520833333333333]","[0.5708333333333333, 0.7270833333333333, 0.54375, 0.525]","[0.5395833333333333, 0.6666666666666666, 0.69375, 0.6395833333333333]","[0.5291666666666667, 0.6520833333333333, 0.73125, 0.6520833333333333]","[0.6041666666666666, 0.71875, 0.7166666666666667, 0.6145833333333334]","[0.5604166666666667, 0.6541666666666667, 0.7520833333333333, 0.6166666666666667]","[0.6166666666666667, 0.6583333333333333, 0.7479166666666667, 0.6708333333333333]","[0.5833333333333334, 0.65625, 0.575, 0.6895833333333333]","[0.6333333333333333, 0.70625, 0.51875, 0.6916666666666667]","[0.6145833333333334, 0.6770833333333334, 0.5979166666666667, 0.7]","[0.5854166666666667, 0.5708333333333333, 0.6520833333333333, 0.6520833333333333]","[0.5833333333333334, 0.5791666666666667, 0.75625, 0.6020833333333333]","[0.5895833333333333, 0.7104166666666667, 0.6375, 0.7291666666666666]","[0.575, 0.675, 0.75, 0.725]","[0.76875, 0.6270833333333333, 0.5979166666666667, 0.5895833333333333]","[0.5395833333333333, 0.6145833333333334, 0.64375, 0.54375]","[0.5479166666666667, 0.6583333333333333, 0.5958333333333333, 0.5770833333333333]","[0.49583333333333335, 0.61875, 0.7395833333333334, 0.66875]","[0.625, 0.6416666666666667, 0.5770833333333333, 0.6666666666666666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.6104166666666667, 0.6354166666666666, 0.60625, 0.6083333333333333]","[0.5291666666666667, 0.7145833333333333, 0.60625, 0.6041666666666666]","[0.6229166666666667, 0.7083333333333334, 0.6708333333333333, 0.70625]","[0.5645833333333333, 0.65625, 0.61875, 0.6208333333333333]","[0.5416666666666666, 0.47291666666666665, 0.5875, 0.5708333333333333]","[0.5145833333333333, 0.48125, 0.5375, 0.44166666666666665]","[0.3854166666666667, 0.5625, 0.35, 0.475]","[0.46041666666666664, 0.5145833333333333, 0.46041666666666664, 0.3958333333333333]","[0.5083333333333333, 0.4875, 0.6083333333333333, 0.5229166666666667]","[0.42291666666666666, 0.49583333333333335, 0.6, 0.5916666666666667]","[0.6458333333333334, 0.6895833333333333, 0.7354166666666667, 0.60625]","[0.5520833333333334, 0.6125, 0.7, 0.5333333333333333]","[0.66875, 0.7125, 0.6270833333333333, 0.66875]","[0.5625, 0.7708333333333334, 0.6145833333333334, 0.6854166666666667]","[0.65625, 0.65, 0.74375, 0.6958333333333333]","[0.4791666666666667, 0.6104166666666667, 0.6229166666666667, 0.5020833333333333]","[0.5166666666666667, 0.7208333333333333, 0.7041666666666667, 0.5979166666666667]","[0.65, 0.6645833333333333, 0.71875, 0.575]","[0.6520833333333333, 0.70625, 0.4979166666666667, 0.7770833333333333]","[0.525, 0.6541666666666667, 0.61875, 0.6895833333333333]","[0.7416666666666667, 0.6520833333333333, 0.7020833333333333, 0.6166666666666667]","[0.6520833333333333, 0.76875, 0.5979166666666667, 0.6291666666666667]","[0.6729166666666667, 0.6645833333333333, 0.69375, 0.66875]","[0.61875, 0.63125, 0.7, 0.50625]","[0.5979166666666667, 0.6895833333333333, 0.47708333333333336, 0.61875]","[0.5166666666666667, 0.7479166666666667, 0.675, 0.6479166666666667]","[0.7708333333333334, 0.7416666666666667, 0.5, 0.6708333333333333]","[0.56875, 0.5395833333333333, 0.61875, 0.6270833333333333]","[0.7145833333333333, 0.6729166666666667, 0.79375, 0.725]","[0.5666666666666667, 0.7104166666666667, 0.6583333333333333, 0.6729166666666667]","[0.5708333333333333, 0.53125, 0.6125, 0.56875]","[0.6458333333333334, 0.7645833333333333, 0.71875, 0.6666666666666666]","[0.6291666666666667, 0.7145833333333333, 0.75625, 0.5666666666666667]","[0.6854166666666667, 0.8166666666666667, 0.70625, 0.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.6458333333333334, 0.6270833333333333, 0.65, 0.5125]","[0.45625, 0.74375, 0.5854166666666667, 0.5895833333333333]","[0.5729166666666666, 0.7270833333333333, 0.7354166666666667, 0.7291666666666666]","[0.5083333333333333, 0.675, 0.65, 0.56875]","[0.5770833333333333, 0.5375, 0.54375, 0.6041666666666666]","[0.47291666666666665, 0.32708333333333334, 0.46041666666666664, 0.5125]","[0.4979166666666667, 0.6166666666666667, 0.4166666666666667, 0.5041666666666667]","[0.4395833333333333, 0.49166666666666664, 0.37916666666666665, 0.5145833333333333]","[0.55, 0.6833333333333333, 0.5479166666666667, 0.51875]","[0.5791666666666667, 0.6958333333333333, 0.5333333333333333, 0.54375]","[0.5416666666666666, 0.7083333333333334, 0.73125, 0.6729166666666667]","[0.5541666666666667, 0.6854166666666667, 0.6708333333333333, 0.5541666666666667]","[0.6270833333333333, 0.7375, 0.6916666666666667, 0.5979166666666667]","[0.7, 0.6729166666666667, 0.6, 0.64375]","[0.6291666666666667, 0.7125, 0.6708333333333333, 0.6708333333333333]","[0.6166666666666667, 0.6604166666666667, 0.48333333333333334, 0.5583333333333333]","[0.6270833333333333, 0.6916666666666667, 0.6520833333333333, 0.6541666666666667]","[0.5645833333333333, 0.6583333333333333, 0.5083333333333333, 0.6479166666666667]",,"[0.5979166666666667, 0.65625, 0.6645833333333333, 0.6708333333333333]","[0.6291666666666667, 0.7375, 0.6333333333333333, 0.7833333333333333]","[0.5458333333333333, 0.64375, 0.5729166666666666, 0.7583333333333333]","[0.5520833333333334, 0.7, 0.6708333333333333, 0.7645833333333333]","[0.60625, 0.75625, 0.675, 0.6583333333333333]","[0.5458333333333333, 0.6, 0.7166666666666667, 0.7145833333333333]","[0.5020833333333333, 0.6979166666666666, 0.6395833333333333, 0.60625]","[0.575, 0.70625, 0.7479166666666667, 0.68125]","[0.5770833333333333, 0.65625, 0.6833333333333333, 0.625]","[0.6270833333333333, 0.7458333333333333, 0.6958333333333333, 0.6270833333333333]","[0.5854166666666667, 0.7395833333333334, 0.6291666666666667, 0.7666666666666667]","[0.5479166666666667, 0.6791666666666667, 0.6020833333333333, 0.6229166666666667]","[0.7083333333333334, 0.7895833333333333, 0.6541666666666667, 0.6625]","[0.6604166666666667, 0.7458333333333333, 0.5625, 0.7354166666666667]","[0.5583333333333333, 0.6979166666666666, 0.55625, 0.575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.6125, 0.6895833333333333, 0.6375, 0.4875]","[0.5125, 0.60625, 0.6583333333333333, 0.5854166666666667]","[0.6583333333333333, 0.6458333333333334, 0.7458333333333333, 0.6895833333333333]","[0.6604166666666667, 0.6520833333333333, 0.6083333333333333, 0.55]","[0.38958333333333334, 0.51875, 0.3875, 0.58125]","[0.5854166666666667, 0.425, 0.4875, 0.4375]","[0.5291666666666667, 0.6270833333333333, 0.5479166666666667, 0.5833333333333334]","[0.41875, 0.6229166666666667, 0.4125, 0.4625]","[0.5520833333333334, 0.50625, 0.58125, 0.5854166666666667]","[0.55, 0.5708333333333333, 0.39791666666666664, 0.41458333333333336]","[0.525, 0.5645833333333333, 0.6145833333333334, 0.65625]","[0.6, 0.65625, 0.725, 0.61875]","[0.5604166666666667, 0.6375, 0.625, 0.7041666666666667]","[0.6958333333333333, 0.5875, 0.53125, 0.65625]","[0.7208333333333333, 0.74375, 0.76875, 0.7229166666666667]","[0.4625, 0.6770833333333334, 0.5979166666666667, 0.5875]","[0.5229166666666667, 0.6541666666666667, 0.6875, 0.48125]","[0.5645833333333333, 0.5791666666666667, 0.6083333333333333, 0.6916666666666667]","[0.6666666666666666, 0.60625, 0.7083333333333334, 0.6854166666666667]","[0.5729166666666666, 0.6916666666666667, 0.6208333333333333, 0.625]","[0.7395833333333334, 0.7020833333333333, 0.7104166666666667, 0.7395833333333334]","[0.6479166666666667, 0.6729166666666667, 0.43125, 0.5833333333333334]","[0.6479166666666667, 0.6729166666666667, 0.7166666666666667, 0.6291666666666667]","[0.5708333333333333, 0.6583333333333333, 0.7020833333333333, 0.69375]","[0.575, 0.6375, 0.7770833333333333, 0.7041666666666667]","[0.5604166666666667, 0.6708333333333333, 0.7145833333333333, 0.5333333333333333]","[0.6354166666666666, 0.75625, 0.7270833333333333, 0.5895833333333333]","[0.5625, 0.59375, 0.6375, 0.7395833333333334]","[0.7104166666666667, 0.6479166666666667, 0.6625, 0.7041666666666667]","[0.6041666666666666, 0.6604166666666667, 0.7083333333333334, 0.6166666666666667]","[0.6041666666666666, 0.6208333333333333, 0.5395833333333333, 0.5625]","[0.5916666666666667, 0.7375, 0.6395833333333333, 0.6375]","[0.61875, 0.7583333333333333, 0.7145833333333333, 0.6208333333333333]","[0.5458333333333333, 0.74375, 0.6354166666666666, 0.5833333333333334]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.3770833333333333, 0.6520833333333333, 0.6125, 0.5375]","[0.6375, 0.8125, 0.6, 0.6104166666666667]","[0.6, 0.7395833333333334, 0.5583333333333333, 0.5416666666666666]","[0.5791666666666667, 0.7125, 0.6645833333333333, 0.6520833333333333]","[0.46875, 0.6729166666666667, 0.4708333333333333, 0.61875]","[0.5041666666666667, 0.43333333333333335, 0.38333333333333336, 0.45625]","[0.46041666666666664, 0.65625, 0.6604166666666667, 0.49583333333333335]","[0.45625, 0.38125, 0.4041666666666667, 0.4791666666666667]","[0.49583333333333335, 0.5416666666666666, 0.525, 0.5166666666666667]","[0.5270833333333333, 0.68125, 0.5375, 0.5770833333333333]","[0.6895833333333333, 0.6916666666666667, 0.6708333333333333, 0.71875]","[0.6958333333333333, 0.7020833333333333, 0.6854166666666667, 0.6041666666666666]","[0.7791666666666667, 0.7166666666666667, 0.625, 0.5875]","[0.6333333333333333, 0.7166666666666667, 0.6645833333333333, 0.69375]","[0.6145833333333334, 0.6479166666666667, 0.575, 0.6791666666666667]","[0.575, 0.6291666666666667, 0.6416666666666667, 0.6479166666666667]","[0.5666666666666667, 0.6229166666666667, 0.6083333333333333, 0.65625]","[0.7041666666666667, 0.6479166666666667, 0.6625, 0.5375]","[0.5520833333333334, 0.6458333333333334, 0.7416666666666667, 0.7083333333333334]","[0.65625, 0.65, 0.6729166666666667, 0.6458333333333334]","[0.5916666666666667, 0.7895833333333333, 0.6145833333333334, 0.64375]","[0.5604166666666667, 0.6270833333333333, 0.66875, 0.6875]","[0.5645833333333333, 0.6729166666666667, 0.5916666666666667, 0.7541666666666667]","[0.5541666666666667, 0.63125, 0.70625, 0.78125]","[0.5166666666666667, 0.61875, 0.5875, 0.6041666666666666]","[0.58125, 0.5833333333333334, 0.66875, 0.6229166666666667]","[0.5770833333333333, 0.7291666666666666, 0.7020833333333333, 0.6333333333333333]","[0.5916666666666667, 0.59375, 0.6916666666666667, 0.6104166666666667]","[0.5604166666666667, 0.75, 0.7270833333333333, 0.6208333333333333]",,"[0.4666666666666667, 0.5083333333333333, 0.7270833333333333, 0.5041666666666667]","[0.5541666666666667, 0.61875, 0.6916666666666667, 0.675]","[0.5354166666666667, 0.7166666666666667, 0.65625, 0.64375]","[0.5104166666666666, 0.725, 0.7604166666666666, 0.54375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.65, 0.6354166666666666, 0.4708333333333333, 0.49166666666666664]","[0.6520833333333333, 0.675, 0.5875, 0.59375]","[0.6979166666666666, 0.7229166666666667, 0.5520833333333334, 0.71875]","[0.5395833333333333, 0.7270833333333333, 0.6541666666666667, 0.6041666666666666]","[0.525, 0.4375, 0.41875, 0.48333333333333334]","[0.45, 0.4875, 0.45416666666666666, 0.5375]","[0.47708333333333336, 0.5520833333333334, 0.5666666666666667, 0.6041666666666666]","[0.44166666666666665, 0.5291666666666667, 0.39166666666666666, 0.5958333333333333]","[0.46875, 0.5958333333333333, 0.5104166666666666, 0.6125]","[0.5958333333333333, 0.5979166666666667, 0.5625, 0.6041666666666666]","[0.49166666666666664, 0.6854166666666667, 0.6604166666666667, 0.71875]","[0.6270833333333333, 0.6895833333333333, 0.7791666666666667, 0.5958333333333333]","[0.5958333333333333, 0.6645833333333333, 0.5895833333333333, 0.5645833333333333]","[0.5291666666666667, 0.7104166666666667, 0.6583333333333333, 0.6125]","[0.66875, 0.66875, 0.6729166666666667, 0.7145833333333333]","[0.5041666666666667, 0.6291666666666667, 0.70625, 0.6666666666666666]","[0.6604166666666667, 0.7, 0.7041666666666667, 0.5541666666666667]","[0.5270833333333333, 0.6979166666666666, 0.5375, 0.6354166666666666]","[0.6208333333333333, 0.6145833333333334, 0.6979166666666666, 0.7458333333333333]","[0.48541666666666666, 0.5625, 0.70625, 0.7166666666666667]","[0.5583333333333333, 0.6979166666666666, 0.45208333333333334, 0.7333333333333333]","[0.6083333333333333, 0.625, 0.6333333333333333, 0.7145833333333333]","[0.6041666666666666, 0.6291666666666667, 0.6729166666666667, 0.74375]","[0.6229166666666667, 0.6791666666666667, 0.6958333333333333, 0.65]","[0.5583333333333333, 0.7104166666666667, 0.6604166666666667, 0.625]","[0.44583333333333336, 0.6333333333333333, 0.66875, 0.5604166666666667]","[0.6458333333333334, 0.7041666666666667, 0.7270833333333333, 0.6666666666666666]","[0.53125, 0.6895833333333333, 0.5520833333333334, 0.6145833333333334]","[0.5583333333333333, 0.6666666666666666, 0.7520833333333333, 0.69375]","[0.66875, 0.6583333333333333, 0.63125, 0.56875]","[0.4666666666666667, 0.5854166666666667, 0.6208333333333333, 0.575]","[0.6875, 0.6916666666666667, 0.5916666666666667, 0.6854166666666667]","[0.6041666666666666, 0.6708333333333333, 0.6208333333333333, 0.7]","[0.625, 0.6645833333333333, 0.6854166666666667, 0.55625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.5791666666666667, 0.7416666666666667, 0.7604166666666666, 0.59375]","[0.51875, 0.5104166666666666, 0.71875, 0.6541666666666667]","[0.7333333333333333, 0.7375, 0.58125, 0.61875]","[0.48125, 0.6666666666666666, 0.65, 0.6520833333333333]","[0.45208333333333334, 0.4583333333333333, 0.4354166666666667, 0.5020833333333333]","[0.48541666666666666, 0.4083333333333333, 0.55625, 0.4270833333333333]","[0.43125, 0.5979166666666667, 0.46458333333333335, 0.5395833333333333]","[0.45625, 0.41875, 0.4708333333333333, 0.5]","[0.50625, 0.7041666666666667, 0.5479166666666667, 0.5083333333333333]","[0.6, 0.5979166666666667, 0.6479166666666667, 0.5375]","[0.5708333333333333, 0.73125, 0.7125, 0.7645833333333333]","[0.6354166666666666, 0.7, 0.725, 0.7208333333333333]","[0.5708333333333333, 0.7333333333333333, 0.6145833333333334, 0.5604166666666667]","[0.6708333333333333, 0.6875, 0.625, 0.6958333333333333]",,"[0.6666666666666666, 0.6875, 0.575, 0.6083333333333333]","[0.5, 0.69375, 0.74375, 0.66875]","[0.6354166666666666, 0.6916666666666667, 0.56875, 0.5854166666666667]","[0.5854166666666667, 0.7208333333333333, 0.7083333333333334, 0.68125]","[0.6104166666666667, 0.7291666666666666, 0.7020833333333333, 0.64375]",,"[0.66875, 0.5979166666666667, 0.7145833333333333, 0.66875]","[0.6291666666666667, 0.7458333333333333, 0.7354166666666667, 0.6104166666666667]","[0.5979166666666667, 0.6604166666666667, 0.7, 0.7354166666666667]","[0.5541666666666667, 0.66875, 0.6125, 0.58125]","[0.6, 0.6895833333333333, 0.6875, 0.6395833333333333]","[0.6, 0.7104166666666667, 0.68125, 0.6104166666666667]","[0.5895833333333333, 0.7291666666666666, 0.7375, 0.7125]","[0.675, 0.6666666666666666, 0.7416666666666667, 0.7145833333333333]","[0.49375, 0.7479166666666667, 0.69375, 0.5479166666666667]","[0.5875, 0.6604166666666667, 0.6541666666666667, 0.6]","[0.6208333333333333, 0.7333333333333333, 0.7166666666666667, 0.6666666666666666]","[0.6479166666666667, 0.5791666666666667, 0.6479166666666667, 0.6541666666666667]","[0.6791666666666667, 0.6541666666666667, 0.48541666666666666, 0.6395833333333333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
